"time","evaluatorWeightedEstimate","SDofEWE","unweightedMeanRatings"
0,50,1.01254679745701e-27,50
0.5,50,1.01254679745701e-27,50
1,50,1.01254679745701e-27,50
1.5,50,1.01254679745701e-27,50
2,50,1.01254679745701e-27,50
2.5,50,1.01254679745701e-27,50
3,50,1.01254679745701e-27,50
3.5,50,1.01254679745701e-27,50
4,50.0562439086148,0.000277209190334462,50.0525261048421
4.5,49.9440931066843,0.000273897050710814,49.9477886332579
5,50.3161533126219,0.246292563150635,50.2053358247684
5.5,51.1585209003243,1.49196790682104,50.8857723868789
6,51.2527846287225,1.28368688881658,50.9997894736842
6.5,52.1097733284931,4.85845754936092,51.6175843801105
7,52.2086869778601,5.51679293939108,51.6842105263158
7.5,52.7097927694127,8.68897790146538,52.0515789473684
8,52.6617726430382,8.80569332244169,51.9991528116053
8.5,53.0297777779188,7.43925548206958,52.4207355738737
9,53.2902116515115,8.73337660265235,52.6303183107474
9.5,53.2915810165131,8.73625477724264,52.6315789473684
10,53.7376093891741,14.3021233294302,52.8931419457737
10.5,53.740329074373,14.3402481445014,52.8947368421053
11,53.534626144636,12.7544024918254,52.7371591629684
11.5,54.6874165866539,16.3722047880205,53.7838997793895
12,55.4827812243816,25.2942173984828,54.3597462669053
12.5,55.9606107696224,32.9833078580662,54.6781923247632
13,55.9695547317786,33.1339784040297,54.6842105263158
13.5,56.0482427634094,34.4965027896167,54.7367370522105
14,56.3671321738056,34.7542054236334,55.0507368421053
14.5,57.2648125500071,46.9590278933541,55.7346336800105
15,58.4645666275156,67.4841829149599,56.6302105263158
15.5,59.2830549863018,90.6398847678872,57.1571574728421
16,59.6956241720029,99.0711458520839,57.4730500951158
16.5,59.6964519503942,99.0884116426924,57.4736842105263
17,59.8532791425157,103.739066207501,57.5789473684211
17.5,59.9319671741465,106.139401573736,57.6314738943158
18,60.0898153656017,111.037245675359,57.7368421052632
18.5,60.1685033972325,113.520104827075,57.7893686311579
19,60.454833141644,115.782753008756,58.0521052631579
19.5,60.4554066333641,115.78729968489,58.0526315789474
20,60.4554066333641,115.78729968489,58.0526315789474
20.5,60.5482727808226,119.769707750868,58.1045263157895
21,60.6831982432054,122.726351306191,58.2094724185211
21.5,60.6846577783947,122.766603579182,58.2105263157895
22,60.6846577783947,122.766603579182,58.2105263157895
22.5,60.9764317731054,115.379086998471,58.5778959974789
23,61.2271645274858,109.195262786391,58.8937894736842
23.5,61.0910539821017,106.200549236824,58.7898981324263
24,60.9617046147361,99.2008120797249,58.7376765395263
24.5,60.7082867672187,95.401568364294,58.5272629469474
25,60.5376227975581,89.8284302774214,58.4212627376842
25.5,60.730643402287,92.8456420870724,58.5790340982684
26,61.1520115507251,97.9608730315503,58.9419265605895
26.5,61.3782380234936,99.1834392873249,59.1544047010737
27,61.5660806350916,96.9273037017473,59.3676856863211
27.5,62.5602728062441,116.034175686701,60.1549375762053
28,63.4366206531417,124.670057960217,60.9433826827579
28.5,63.6606626286598,115.290016739276,61.2630528416842
29,64.0179316222171,124.518385730506,61.526210736421
29.5,64.5913303997689,134.836759808148,61.9984242042211
30,65.3412943656229,165.127009552182,62.4718902984579
30.5,67.2122414645541,221.532054217241,63.8887012435158
31,67.2302157595467,216.140459993138,63.9473684210526
31.5,67.7867644507409,234.451644318792,64.3676842105263
32,68.6338973031485,265.683098004042,64.9942054635579
32.5,70.5986573558496,369.398251217962,66.3069503099053
33,71.5227280428439,420.44197919823,66.9440965880526
33.5,71.5278382672419,420.779674904316,66.9473684210526
34,72.1972990230252,441.657757881842,67.5045688518474
34.5,72.5457009470841,454.133107896465,67.7871553633579
35,72.7534615190831,463.375875440879,67.9467355764158
35.5,72.9542260246037,461.637223391125,68.1565263157895
36,73.0340520792488,466.640919205303,68.2104212627368
36.5,73.3495910860947,487.159297691567,68.4210526315789
37,73.3495910860947,487.159297691567,68.4210526315789
37.5,73.3895733667573,484.890220234269,68.4725263157895
38,73.5025101778644,486.300901402869,68.5783157894737
38.5,73.8961032433124,491.453236228952,68.9458917835684
39,73.8976843973684,491.473989099868,68.9473684210526
39.5,73.8976843973684,491.473989099868,68.9473684210526
40,73.8976843973684,491.473989099868,68.9473684210526
40.5,74.004267292027,491.777889193319,69.0524210526316
41,74.2761209120452,331.877225621307,70.2082105263158
41.5,74.2870628322519,324.752754018789,70.2630526315789
42,74.2870836690282,324.739127108854,70.2631578947368
42.5,74.1171558370543,314.41927875679,70.1576842105263
