"time","evaluatorWeightedEstimate","SDofEWE","unweightedMeanRatings"
0,50.3949275920866,64.4815173154244,48.5555555555556
0.5,50.3949275920866,64.4815173154244,48.5555555555556
1,50.3949275920866,64.4815173154244,48.5555555555556
1.5,50.4628940037174,65.3624525838469,48.611
2,50.6046054606152,67.5324634526216,48.7222213351056
2.5,50.2701783893193,63.490173342177,48.4450004453333
3,50.1273221832185,61.2933522972554,48.3339986693278
3.5,49.8598342643112,58.2232691424765,48.112
4,50.3491021230143,65.2360252028597,48.499
4.5,50.6311878003128,69.5581550919935,48.7207804391222
5,50.6953219030029,70.0221506698565,48.7785533377667
5.5,53.6969753939049,106.938898507501,51.3282222222222
6,54.0766642113731,116.244363922803,51.607
6.5,53.9809361253232,117.413248275076,51.4988862328444
7,51.7395503527049,80.9649202054559,49.6784440008889
7.5,49.8693881187944,54.6244701748508,48.1764324951167
8,49.2241746120134,45.8847271253332,47.6725522421056
8.5,48.9700709334392,44.3665630998872,47.4443333333333
9,49.3904526125901,49.9254689649188,47.7719513888889
9.5,49.0902697289558,50.1581360273076,47.4680015480389
10,49.8092423636671,58.9776157545481,48.0501219782667
10.5,49.2275460563288,15.1416341113929,48.3362164559778
11,49.8757271603065,14.7351025052985,48.9964444444444
11.5,51.0469618040601,23.410411007246,49.9386639946556
12,49.8663329792918,16.0768713700885,48.9478888888889
12.5,48.9201636542523,10.6618434165559,48.1722213368722
13,49.1248072030258,11.9893705279294,48.3316666666667
13.5,48.6532041634869,9.56802518802466,47.9446662231111
14,48.8625075139337,10.7477567577507,48.1115577760056
14.5,49.1805541854467,12.0018191215782,48.3870019960056
15,48.6247208421329,8.69660725653577,47.9492184608167
15.5,48.7528024748923,9.23606123584313,48.0566644488778
16,49.1011282538103,11.4145517507071,48.32723442005
16.5,48.903507508104,10.2978384059425,48.1684437817556
17,49.178607706721,12.0133023590537,48.3846759760833
17.5,49.6811848381469,8.58579201026364,49.01
18,50.6853182767708,9.33172443777893,49.9855843867833
18.5,50.5861517668299,5.29517402113861,50.0590529100556
19,51.2030806324521,8.24266207481453,50.5454444444444
19.5,51.1262887990956,7.37531133219177,50.5042146782111
20,51.9312465668641,9.82601426528565,51.2132197728778
20.5,52.0558843253101,0.226456843614293,52.1648888888889
21,52.9558194849712,0.149455744103072,52.8672654690611
21.5,52.0166287993927,0.244004234371077,52.1297777777778
22,52.6169964984373,0.00831344745998121,52.5961111111111
22.5,52.2172371077172,0.10338620575315,52.2908888888889
23,52.7525294648131,0.0313067385789913,52.712
23.5,52.1469332061547,0.134693009887594,52.231
24,52.482537037518,0.00158855538818541,52.4916666666667
24.5,52.5584137005776,3.83517556754329e-07,52.5585555555556
25,53.5277962715391,0.39820454410688,53.3832506098889
25.5,53.4729344023948,0.1835390926121,53.3748011380278
26,53.3694367946257,0.0949567147874192,53.2988514082944
26.5,53.6180401968061,0.301627701754598,53.4922381902833
27,52.2715463566709,0.115241179681957,52.3493062763389
27.5,51.6894161140142,0.405180794347005,51.8352224448889
28,51.5923856516216,0.72928537332054,51.788
28.5,52.1124968097799,0.6248422316214,51.9314307116111
29,51.5360943362755,6.42863611514056,50.9553147039278
29.5,52.6348283889171,9.13378252720925,51.9425555555556
30,54.2053190462104,295.042309278344,50.2707777777778
30.5,54.7241428604678,530.799331646042,49.4467777777778
31,54.0271264283759,409.742369830677,49.3904435573278
31.5,54.0924790289638,411.416530782837,49.4463333333333
32,54.7431011551874,431.079797276884,49.9872222222222
32.5,54.286986318934,414.054206012938,49.6259707252167
33,54.0753207467391,408.206980562351,49.4473333333333
33.5,55.3339000599402,451.778504833996,50.4651807496111
34,55.5030217097207,456.119600197693,50.6109667994667
34.5,55.560588372104,457.999767868368,50.6584610769611
35,55.7347095219567,463.920238875622,50.8009995573278
35.5,55.6982847398401,461.523990557607,50.7773331106667
36,55.69378328485,463.281142115596,50.7634728321111
36.5,55.2817837942676,394.141116451608,50.7342301921167
37,56.2203751224568,375.101537167963,51.7840192425278
37.5,56.1888803656951,368.999712052707,51.7887558216889
38,56.9020626251592,390.344053757496,52.3764670658667
38.5,57.2376300080038,395.927629545037,52.6797817697944
39,56.9501349991643,384.901733862787,52.4561989354611
39.5,57.2675762537506,397.136045935477,52.7027777777778
40,57.5654695435282,407.780955355583,52.9398977600389
40.5,57.9233457630839,419.404016162553,53.2323153560056
41,59.135053628609,464.234854055254,54.1996710090278
41.5,58.9725664797462,457.752044336553,54.0717650985278
42,59.7592642371163,487.061509899405,54.704
42.5,59.5871319636372,478.658244292224,54.5756666666667
43,59.8255989947795,488.876872073101,54.7609225992444
43.5,59.7171444107286,483.704182723201,54.6793333333333
44,59.938910615972,588.522940752587,54.3819968951
